tocr_id,tocr_name,articles,current,suggested,from_cdosgame,from_famitsu,sources,source_ids,unknown,risk,shared_with
cmtzt68c000he0agmq8o3bgc5,DMC 惡魔獵人,3,,PS3、X360、PC,,PS3、X360、PC,VOL.362 VOL.412 VOL.420 VOL.421,索引:dmc惡魔獵人,,,
cmtzt4zi3009b0agmofgxxowp,DRAGON QUEST MONSTERS-Joker 2 PROFESSIONAL,9,,NDS,,NDS,VOL.321 VOL.327 VOL.329 VOL.331 VOL.332 VOL.333 VOL.334 VOL.335 VOL.336 VOL.338 VOL.339 VOL.340,索引:dragonquestmonstersjoker2professional,,,
cmtxe422d001x0agmmawhg0kd,DRAGON QUEST V,1,,NDS,,NDS,VOL.193,索引:dragonquestv,,,
cmtzt4k9p001c0agma6wjkmth,DRAGON QUEST VI: Realms of Reverie,1,,NDS,,NDS,VOL.284,索引:dragonquestvirealmsofreverie,,,
cmtzt667400ga0agmdi7eh75a,DRAGON QUEST VII,2,,3DS,,3DS,VOL.412 VOL.414 VOL.416 VOL.420 VOL.423 VOL.425 VOL.429,索引:dragonquestvii,,,
cmtztlo1r005l04l54119jpfd,DS-PICO系列 Sanrio彩虹樂園 快樂購物 裝飾美妙房間,1,,NDS,,NDS,VOL.317,索引:dspico系列sanrio彩虹樂園快樂購物裝飾美妙房間,,,
cmtzt559v00c70agmn924f49q,DUNAMIS 15,1,,PS3、X360、PSP,,PS3、X360、PSP,VOL.331 VOL.335 VOL.380,索引:dunamis15,,,
cmtpkb3y001g304jv8kp1vxlv,DUNGEON HACK,1,,DOS,DOS,,cdg-0833,cdg-0833,,靠別名對上、來源同時給了別筆(1),百戰迷宮
cmtdmiioj001504l4tnrmf8n2,DUNGEON MASTER,1,,DOS,DOS,,cdg-0758,cdg-0758,,靠別名對上,
cmsyqnpdz000r04i5m0dnj9lh,DVORAK ON TYPING,1,,DOS,DOS,,cdg-4586,cdg-4586,,靠別名對上,
cmtztlxvg001c0agmnsm4kjfi,Dies irae ～Amantes amentes～,1,,PSP,,PSP,VOL.380,索引:diesiraeamantesamentes,,,
cmsylqo31000e04ji5nzycmws,Dragon Lord,1,,DOS,DOS,,cdg-3857,cdg-3857,,靠別名對上、來源同時給了別筆(1),蓋世龍王
cmsx2w9ca005t04ld2qefaj72,Dragon Strike,1,,DOS,DOS,,cdg-1547,cdg-1547,,靠別名對上、來源同時給了別筆(1),飛龍騎士
cmtpkyu1x06j404jvs9et5huj,Duel Succession,1,,DOS,DOS,,cdg-4147,cdg-4147,,靠別名對上、來源同時給了別筆(1),聖戰物語
cmt03mn7k000504l5yrnbyraz,D計劃,3,,DOS,DOS,,cdg-3954,cdg-3954,,靠別名對上,
cmtplab2b09g504jvktabgl06,EQ大富翁,1,WIN,WIN,WIN,,cdg-0053,cdg-0053,,,
cmtpnofbp04l304l6dpgd0ybb,EVER17,2,,WIN、X360,WIN,X360,cdg-4855 VOL.327,cdg-4855 索引:ever17,,靠別名對上、兩邊都給、來源同時給了別筆(1),時光的羈絆
cmu84x5m700cx04ihv7bbsl23,EVOLUTION,1,,DOS,DOS,,cdg-5041,cdg-5041,,靠別名對上,
