bucket,cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,years,tocr_platforms,status,decision
B 一中一西,cdg-4272,風雲霸主,1990,DOS,3,cmta06a14001004jr3yv8kh21,POWERMONGER,1,1992–1992,,要判,
B 一中一西,cdg-4322,城市獵人（Rise of the Dragon）,1990,DOS,0,cmsylqo1t000804jimnknhy30,Rise of the Dragon,1,1991–1991,,要判,
B 一中一西,cdg-4322,城市獵人（Rise of the Dragon）,1990,DOS,0,cmsylqo1g000704jigkm1rj3y,城市獵人,7,1991–1998,,要判,
B 一中一西,cdg-4438,鐵血傭兵,1990,DOS,3,cmt03mni0001z04l5rwoeeux7,鐵血傭兵,3,1992–1992,,要判,
B 一中一西,cdg-4438,鐵血傭兵,1990,DOS,3,cmta91ul7005m04l6zzufrfw8,HARD NOVA,1,1991–1991,,要判,
B 一中一西,cdg-4468,出擊飛龍,1989,DOS,0,cmswuudqe000704l4vq33r8zu,出擊飛龍,3,1990–1991,,要判,
B 一中一西,cdg-4468,出擊飛龍,1989,DOS,0,cmswuudqm000804l4laybungz,STRIDER,1,1990–1990,,要判,
B 一中一西,cdg-4468,出擊飛龍,1989,DOS,0,cmsumll2f006804jokkqe0o1x,飛龍,1,1988–1988,,要判,
B 一中一西,cdg-4570,金牌拳王,1990,DOS,0,cmsx2unhn001104ld0sgi2kki,金牌拳王,3,1990–1991,,要判,
B 一中一西,cdg-4570,金牌拳王,1990,DOS,0,cmsx2unhv001204ldbifpr3ej,LOW BLOW,1,1990–1990,,要判,
B 一中一西,cdg-4572,異形神殿,1989,DOS,0,cmsybel0f002j04jv13c6a6zr,異形神殿,2,1990–1990,,要判,
B 一中一西,cdg-4572,異形神殿,1989,DOS,0,cmsxqcbos005f04l40yj9qhte,Chamber of the Sci-Mutant Priestess,1,1990–1990,,要判,
B 一中一西,cdg-4581,A-6入侵者,1990,DOS,2,cmsylqo6j000v04ji12r01sep,A-6入侵者,1,1991–1991,,要判,
B 一中一西,cdg-4581,A-6入侵者,1990,DOS,2,cmsybeksg001904jvw0lzgmdf,Flight of the Intruder,2,1990–1991,,要判,
B 一中一西,cdg-4585,妙賊奇弗,1989,DOS,2,cmsyqgoo400ak04jne8gvom6u,妙賊奇弗,3,1991–1991,,要判,
B 一中一西,cdg-4585,妙賊奇弗,1989,DOS,2,cmsyqnpeq000v04i58bykn870,KEEF the THIEF,1,1991–1991,,要判,
B 一中一西,cdg-4587,F-14雄貓式戰鬥機,1990,DOS,0,cmsyqgoni00ag04jntrjtt0y3,F-14雄貓式戰鬥機,1,1991–1991,,要判,
B 一中一西,cdg-4587,F-14雄貓式戰鬥機,1990,DOS,0,cmsyqnpfd000z04i5pd24y4ph,F-14 Tomcat,1,1991–1991,,要判,
B 一中一西,cdg-4588,沙漠之蠱,1989,DOS,3,cmta8xkzm003404l6au9cqo5o,沙漠之蠱,1,1991–1991,,要判,
B 一中一西,cdg-4588,沙漠之蠱,1989,DOS,3,cmsyqnphs001j04i58atokf8s,It Came From the Desert,1,1991–1991,,要判,
B 一中一西,cdg-4592,警察故事3：陰謀,1991,DOS,0,cmt03mn8u000a04l535m4ump8,警察故事3－陰謀,1,1992–1992,,要判,
B 一中一西,cdg-4592,警察故事3：陰謀,1991,DOS,0,cmt03mn92000b04l5ldija64r,Police Quest 3: The Kindred,1,1992–1992,,要判,
B 一中一西,cdg-4593,職業網球大賽2,1991,DOS,0,cmt1hzs1q000q04ldau392kcn,職業網球大賽2,2,1992–1992,,要判,
B 一中一西,cdg-4593,職業網球大賽2,1991,DOS,0,cmt1hzs1x000r04ldvshqw7qm,Pro Tennis Tour 2,1,1992–1992,,要判,
B 一中一西,cdg-4595,天生好手2,1991,DOS,0,cmtdmiiix000g04l4rg0howd7,天生好手2,1,1992–1992,,要判,
B 一中一西,cdg-4595,天生好手2,1991,DOS,0,cmt1hzs2j000x04ldz3t0kux7,Earl Weaver Baseball II,1,1992–1992,,要判,
B 一中一西,cdg-4595,天生好手2,1991,DOS,0,cmt1hzs2d000w04ldil167ckp,天生好手II,1,1992–1992,,要判,
B 一中一西,cdg-4596,空中英雄：長空會戰,1991,DOS,2,cmt1hzs4u001k04ld4qcxnlzf,空中英雄－長空會戰,1,1992–1992,,要判,
B 一中一西,cdg-4596,空中英雄：長空會戰,1991,DOS,2,cmt1mj8it000d04ju87j981c1,空中英雄長空會戰,2,1992–1992,,要判,
B 一中一西,cdg-4596,空中英雄：長空會戰,1991,DOS,2,cmt03mnej001a04l5reu6of9r,Chuck Yeager's Air Combat,2,1992–1992,,要判,
B 一中一西,cdg-4599,天才智多星,1991,DOS,0,cmt1hzs5b001p04ld59baxwgf,天才智多星,5,1992–1992,,要判,
B 一中一西,cdg-4599,天才智多星,1991,DOS,0,cmt1hzs5g001q04ldfxy8np7x,Castle of Dr. Brain,1,1992–1992,,要判,
B 一中一西,cdg-4603,天際寒星：義無反顧,1991,DOS,3,cmt9n4wjz005e04jmtschbw37,天際寒星——義無反顧,1,1992–1992,,要判,
B 一中一西,cdg-4603,天際寒星：義無反顧,1991,DOS,3,cmt8znyzk002m04jy9af94sym,PLANET'S EDGE,2,1992–1992,,要判,
B 一中一西,cdg-4606,美國鼠譚,1992,DOS,0,cmta069z1000p04jr3w0hcjuo,美國鼠譚,1,1992–1992,,要判,
B 一中一西,cdg-4606,美國鼠譚,1992,DOS,0,cmta069zb000q04jrq751s2fv,An American Tail,1,1992–1992,,要判,
B 一中一西,cdg-4609,戰爭風雲錄：中東戰爭,1991,DOS,4,cmt9rt6je001c04js2srk60mo,戰爭風雲錄：中東戰爭,3,1992–1992,,要判,
B 一中一西,cdg-4609,戰爭風雲錄：中東戰爭,1991,DOS,4,cmta06a6d001v04jrvben362i,Conflict: Middle East,1,1992–1992,,要判,
B 一中一西,cdg-4610,香港麻將,1992,DOS,2,cmt9rt6fk000p04jszebwxh40,香港麻將,1,1992–1992,,要判,
B 一中一西,cdg-4610,香港麻將,1992,DOS,2,cmta06a05000v04jrphaziq9w,Hong Kong Mahjong Pro,1,1992–1992,,要判,
